# Supplementary data for best-fit atmospheric models - all spectral orders
# Target: gl725A
# Retrieval run: fc5
# Generated on: 2025-06-10 12:23:33
# Authors: Darío González Picos, Ignas Snellen and Sam de Regt
# Contact: picos@strw.leidenuniv.nl
#
# Data description:
# This file contains high-resolution K-band spectroscopic data and
# best-fit atmospheric models from Bayesian retrieval analysis of M dwarf
# stellar atmospheres. All spectral orders are included in a single file.
# Data obtained with SPIRou at CFHT.
#
# Target properties:
# - Effective temperature: 3485 K
# - Spectral type: M3.0
# - Number of spectral orders: 3
# - Total data points: 12264
#
# Observational details:
# - Radial velocity correction: Not available
# - RV correction applied: Unknown (wavelengths are barycentric)
# - Spline continuum correction applied: Yes
# - Plotting offset: 7.020 (removed from saved data)
# - Spectral resolution: R ~ 75,000
# - Wavelength coverage: 2291.2 - 2515.8 nm
#
# Column descriptions:
# spectral_order: SPIRou spectral order number (0, 1, 2 for K-band)
# wavelength_nm: Wavelength in nanometers (barycentric, RV corrected)
# observed_flux: Observed normalized flux
# flux_error: 1-sigma uncertainty on observed flux
# petitradtrans_model: Best-fit atmospheric model flux from petitRADTRANS
# spline_continuum: Spline continuum normalization function
# valid_pixel: 1 for valid data points, 0 for masked/invalid pixels
#
# Data processing notes:
# - Wavelengths corrected for radial velocity using:
#   λ_corrected = λ_observed × (1 - RV/c)
# - Flux normalized to continuum level
# - Spline continuum divided out from model and applied to data
# - Plotting offset of 7.020 has been removed from flux and model data
# - Invalid pixels (telluric contamination, cosmic rays) marked in valid_pixel column
#
# Units:
# - Wavelength: nanometers (nm)
# - Flux: normalized (dimensionless)
# - Error: normalized flux units
# - Temperature: Kelvin (K)
# - Radial velocity: km/s
#
# Quality metrics:
# - Mean S/N ratio: 29.9
# - Valid pixels: 10413 / 12264 (84.9%)
# - RMS residuals: 0.0360
#
# Notes:
# - Each row represents one wavelength point
# - NaN values are preserved as NaN (not converted to other values)
# - Residuals can be calculated as: observed_flux - petitradtrans_model
# - Spline model contains the fitted continuum with 25 equally spaced knots
# - Data and model values have plotting offset removed for scientific analysis
#
spectral_order,wavelength_nm,observed_flux,flux_error,petitradtrans_model,spline_continuum,valid_pixel
0,2291.157542,nan,nan,nan,nan,0
0,2291.177344,nan,nan,nan,nan,0
0,2291.197144,nan,nan,nan,nan,0
0,2291.216943,nan,nan,nan,nan,0
0,2291.236742,nan,nan,nan,nan,0
0,2291.256539,nan,nan,nan,nan,0
0,2291.276335,nan,nan,nan,nan,0
0,2291.296130,nan,nan,nan,nan,0
0,2291.315924,nan,nan,nan,nan,0
0,2291.335717,nan,nan,nan,nan,0
0,2291.355509,nan,nan,nan,nan,0
0,2291.375300,nan,nan,nan,nan,0
0,2291.395089,nan,nan,nan,nan,0
0,2291.414878,nan,nan,nan,nan,0
0,2291.434666,nan,nan,nan,nan,0
0,2291.454452,nan,nan,nan,nan,0
0,2291.474238,nan,nan,nan,nan,0
0,2291.494022,nan,nan,nan,nan,0
0,2291.513805,nan,nan,nan,nan,0
0,2291.533588,nan,nan,nan,nan,0
0,2291.553369,nan,nan,nan,nan,0
0,2291.573149,nan,nan,nan,nan,0
0,2291.592928,nan,nan,nan,nan,0
0,2291.612706,nan,nan,nan,nan,0
0,2291.632483,nan,nan,nan,nan,0
0,2291.652259,nan,nan,nan,nan,0
0,2291.672034,nan,nan,nan,nan,0
0,2291.691807,nan,nan,nan,nan,0
0,2291.711580,nan,nan,nan,nan,0
0,2291.731352,nan,nan,nan,nan,0
0,2291.751122,1.079735,0.031384,1.081424,0.974914,1
0,2291.770892,1.029791,0.030347,1.039626,0.975043,1
0,2291.790660,0.928781,0.033420,0.954961,0.975172,1
0,2291.810427,0.896322,0.031277,0.913872,0.975298,1
0,2291.830194,0.992973,0.036888,0.979716,0.975424,1
0,2291.849959,1.078716,0.031391,1.052744,0.975549,1
0,2291.869723,1.092126,0.029473,1.078738,0.975672,1
0,2291.889486,1.080859,0.025744,1.086166,0.975794,1
0,2291.909248,1.067448,0.028274,1.086808,0.975915,1
0,2291.929009,1.061770,0.027092,1.079901,0.976035,1
0,2291.948769,1.066049,0.028213,1.077497,0.976153,1
0,2291.968528,1.071718,0.029159,1.086010,0.976270,1
0,2291.988285,1.075736,0.028261,1.094210,0.976386,1
0,2292.008042,1.072754,0.029392,1.087942,0.976501,1
